# Rime user dictionary
#@/db_name	dicts
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	127284
#@/user_id	sync
a 	啊	c=227 d=2.80092 t=127284
a 	阿	c=1 d=9.42566e-11 t=127284
a la ke 	阿拉克	c=0 d=2.20452e-07 t=127284
a li 	阿里	c=31 d=1.9784 t=127284
a li yun 	阿里雲	c=1 d=4.8214e-36 t=127284
a lie fu 	阿列夫	c=0 d=2.41246e-38 t=127284
a long suo 	阿隆索	c=0 d=2.21557e-07 t=127284
a mi 	阿彌	c=0 d=3.24035e-09 t=127284
a mi 	阿米	c=0 d=0.088692 t=127284
a mi nuo si 	阿彌諾斯	c=1 d=3.25659e-08 t=127284
a mi nuo si 	阿米諾斯	c=13 d=1.85215 t=127284
a san 	阿三	c=1 d=9.83238e-08 t=127284
a shen ke long 	阿什克隆	c=0 d=2.20452e-07 t=127284
a xin 	阿信	c=1 d=0.985112 t=127284
a zi 	阿紫	c=0 d=8.96139e-06 t=127284
ai 	唉	c=2 d=0.0107903 t=127284
ai 	愛	c=5 d=0.316637 t=127284
ai guo 	愛國	c=1 d=7.52911e-15 t=127284
ai hao 	愛好	c=2 d=0.947172 t=127284
ai hao zhe 	愛好者	c=1 d=1.24735e-12 t=127284
ai ji 	埃及	c=1 d=0.000169951 t=127284
ai le 	愛了	c=0 d=1.67963e-43 t=127284
ai le ai le 	愛了愛了	c=1 d=1.68805e-42 t=127284
ai ren 	愛人	c=0 d=3.85271e-16 t=127284
ai shang 	愛上	c=0 d=2.42456e-38 t=127284
ai wan 	愛玩	c=1 d=0.0343896 t=127284
ai yong 	愛用	c=2 d=3.3842e-19 t=127284
ai zheng 	癌症	c=1 d=2.64928e-21 t=127284
an 	按	c=46 d=1.27264 t=127284
an ci 	按次	c=1 d=0.955997 t=127284
an ci 	按此	c=1 d=0.946485 t=127284
an dao li 	按道理	c=3 d=0.588605 t=127284
an hei 	暗黑	c=1 d=0.882497 t=127284
an jing 	安靜	c=1 d=2.7206e-10 t=127284
an le 	按了	c=4 d=0.172045 t=127284
an le 	暗了	c=1 d=0.694197 t=127284
an li 	安利	c=3 d=0.524663 t=127284
an li 	案例	c=3 d=0.134024 t=127284
an mo 	按摩	c=0 d=0.000775048 t=127284
an niu 	按鈕	c=36 d=0.637628 t=127284
an pai 	安排	c=1 d=0.000100034 t=127284
an quan 	安全	c=29 d=0.62816 t=127284
an ran 	安然	c=1 d=3.15165e-05 t=127284
an se 	暗色	c=1 d=0.00136719 t=127284
an se diao 	暗色調	c=2 d=7.48166e-08 t=127284
an wei huo 	按位或	c=1 d=1.91281e-42 t=127284
an wo 	安臥	c=1 d=0.157237 t=127284
an xia 	按下	c=13 d=0.319156 t=127284
an xie 	安歇	c=1 d=6.18342e-22 t=127284
an ya 	按壓	c=1 d=0.0108347 t=127284
an zhao 	按照	c=17 d=1.30316 t=127284
an zhe 	按着	c=1 d=0.000221519 t=127284
an zhuang 	安裝	c=174 d=2.72486 t=127284
an zhuang le 	安裝了	c=6 d=0.907131 t=127284
an zhuo 	安卓	c=70 d=1.01289 t=127284
an zhuo duan 	安卓端	c=1 d=6.72627e-12 t=127284
ang 	昂	c=0 d=2.35826e-06 t=127284
ang gui 	昂貴	c=1 d=9.52039e-11 t=127284
ao 	奧	c=3 d=0.763379 t=127284
ao ben hai mo 	奧本海默	c=2 d=0.767704 t=127284
ao nao 	懊惱	c=0 d=2.25565e-12 t=127284
ao te man 	奧特曼	c=2 d=2.18861e-09 t=127284
ba 	八	c=3 d=0.844532 t=127284
ba 	吧	c=197 d=2.85952 t=127284
ba 	扒	c=1 d=7.31281e-25 t=127284
ba 	把	c=157 d=1.46973 t=127284
ba 	爸	c=1 d=0.137381 t=127284
ba ba ma ma 	爸爸媽媽	c=1 d=5.34243e-08 t=127284
ba bai 	八百	c=0 d=0.0133989 t=127284
ba bai nian 	八百年	c=1 d=0.13466 t=127284
ba bai nian 	吧百年	c=1 d=0.133989 t=127284
ba ben 	把本	c=1 d=7.25138e-14 t=127284
ba cao 	拔草	c=2 d=0.000345057 t=127284
ba cheng 	八成	c=1 d=3.72665e-06 t=127284
ba ci 	八次	c=1 d=0.308819 t=127284
ba ge 	八個	c=2 d=0.0396827 t=127284
ba gu 	八股	c=1 d=3.44013e-06 t=127284
ba ji 	八級	c=1 d=1 t=123910
ba le 	罷了	c=1 d=7.85933e-20 t=127284
ba mao 	八毛	c=1 d=1.23813e-13 t=127284
ba ni 	把你	c=1 d=0.000542133 t=127284
ba qian 	把錢	c=1 d=0.165299 t=127284
ba ta 	把它	c=11 d=0.406143 t=127284
ba ta men 	把它們	c=1 d=6.41152e-07 t=127284
ba tian 	八天	c=3 d=3.25656e-20 t=127284
ba wan 	把玩	c=2 d=1.54351 t=127284
ba wei 	八位	c=1 d=0.00190171 t=127284
ba wo 	把我	c=1 d=0.0141931 t=127284
ba wo 	把握	c=2 d=0.0939493 t=127284
ba zhu 	霸主	c=3 d=0.000572956 t=127284
bai 	敗	c=1 d=0.00694315 t=127284
bai 	白	c=4 d=3.15165e-05 t=127284
bai bian 	白邊	c=1 d=1 t=124273
bai ci 	百次	c=1 d=4.48627e-12 t=127284
bai du 	百度	c=17 d=2.49054 t=127284
bai hua 	白話	c=2 d=0.417262 t=127284
bai hua wen 	白話文	c=1 d=3.15272e-09 t=127284
bai jia 	百家	c=1 d=0.18452 t=127284
bai jie 	白潔	c=1 d=0.0558548 t=127284
bai jin 	白金	c=1 d=1.30498e-14 t=127284
bai lan 	擺爛	c=1 d=7.77319e-08 t=127284
bai lian 	百鍊	c=2 d=0.748264 t=127284
bai lu 	白鹿	c=0 d=1.91815e-17 t=127284
bai lu yuan 	白鹿原	c=1 d=1.92777e-16 t=127284
bai ming dan 	白名單	c=3 d=3.87782e-16 t=127284
bai nian 	百年	c=0 d=0.013332 t=127284
bai pi shu 	白皮書	c=3 d=0.170064 t=127284
bai piao 	白嫖	c=12 d=0.0794602 t=127284
bai piao le 	白嫖了	c=1 d=0.112478 t=127284
bai se 	白色	c=18 d=3.33373 t=127284
bai tuo 	擺脫	c=1 d=4.85976e-41 t=127284
bai wan 	百萬	c=1 d=4.40628e-65 t=127284
bai xi 	白皙	c=1 d=4.11999e-10 t=127284
bai xuan 	白選	c=1 d=0.144424 t=127284
bai zai 	擺在	c=1 d=7.53167e-20 t=127284
bai zai zhe 	擺在這	c=1 d=7.56942e-19 t=127284
ban 	半	c=4 d=0.040545 t=127284
ban 	搬	c=1 d=1.97012e-07 t=127284
ban 	版	c=11 d=0.965554 t=127284
ban 	班	c=12 d=2.97518 t=127284
ban 	辦	c=5 d=0.0963276 t=127284
ban ben 	版本	c=257 d=2.50726 t=127284
ban ben hao 	版本號	c=2 d=1.21593e-06 t=127284
ban ben ne 	版本呢	c=1 d=1.41074e-19 t=127284
ban ben shi 	版本是	c=1 d=0.0702988 t=127284
